team,adj_off_eff,adj_def_eff,adj_tempo,adj_em,efficiency_differential
South Florida,117.266,102.654,71.3529,14.6119,14.612000000000009
Southeast Missouri,103.208,108.365,69.1318,-5.15698,-5.1569999999999965
Southeastern Louisiana,99.2984,110.571,65.0963,-11.2729,-11.272599999999997
Southern,104.063,114.136,70.204,-10.0725,-10.072999999999993
Southern Illinois,103.827,98.8732,69.2057,4.95426,4.953800000000001
Southern Indiana,95.645,114.171,67.4124,-18.5263,-18.52600000000001
Southern Miss,104.039,109.193,68.651,-5.1537,-5.153999999999996
Southern Utah,105.906,113.289,70.0299,-7.38281,-7.382999999999996
St. Bonaventure,114.663,113.45,66.8886,1.21334,1.2129999999999939
St. John's,119.609,94.7812,69.7755,24.8278,24.827799999999996
St. Thomas,114.449,108.239,68.4456,6.2106,6.209999999999994
Stanford,116.072,103.418,66.9255,12.6533,12.653999999999996
Stephen F. Austin,113.182,103.885,65.9866,9.29691,9.296999999999997
Stetson,104.537,118.31,66.8477,-13.7733,-13.772999999999996
Stonehill,91.6888,109.974,66.0893,-18.2848,-18.285200000000003
Stony Brook,105.214,109.783,66.0319,-4.56862,-4.569000000000003
Syracuse,115.98,105.263,67.6457,10.7167,10.716999999999999
Tarleton St.,104.45,108.231,69.2256,-3.78078,-3.7809999999999917
TCU,113.582,97.9501,67.7535,15.6318,15.631899999999987
Temple,111.979,112.327,64.7288,-0.347987,-0.347999999999999
Tennessee,120.944,94.9567,65.028,25.9874,25.987300000000005
Tennessee Martin,100.734,104.807,64.3246,-4.0732,-4.0730000000000075
Tennessee St.,108.515,112.001,70.3036,-3.48646,-3.486000000000004
Tennessee Tech,102.655,115.822,66.7223,-13.1669,-13.167000000000002
Texas,127.319,106.252,66.1729,21.0679,21.067000000000007
Texas A&M,120.429,101.148,70.5039,19.2805,19.281000000000006
Texas A&M Corpus Christi,103.65,105.21,66.5068,-1.56039,-1.559999999999988
Texas Southern,103.255,115.096,68.8152,-11.8412,-11.841000000000008
Texas St.,103.922,110.408,65.9834,-6.48691,-6.486000000000004
Texas Tech,126.462,98.8066,66.5968,27.6549,27.6554
The Citadel,98.7914,119.86,64.2448,-21.0683,-21.068600000000004
Toledo,114.193,112.645,68.0742,1.54804,1.5480000000000018
Towson,104.273,105.369,63.5182,-1.09649,-1.0960000000000036
Troy,111.05,110.147,64.8407,0.903162,0.9029999999999916
Tulane,108.048,110.198,66.7474,-2.14995,-2.1499999999999915
Tulsa,122.072,108.241,67.9261,13.8305,13.831000000000003
UAB,109.789,105.253,68.9109,4.53639,4.536000000000001
UC Davis,109.836,108.875,68.3769,0.960542,0.9609999999999985
UC Irvine,103.249,97.8227,68.3508,5.426,5.426299999999998
UC Riverside,103.31,111.019,68.4278,-7.70935,-7.709000000000003
UC San Diego,109.213,103.975,67.4778,5.23863,5.2379999999999995
UC Santa Barbara,114.6,111.108,64.1255,3.49166,3.4919999999999902
UCF,122.54,106.208,68.9853,16.3316,16.332000000000008
UCLA,122.248,103.701,64.6782,18.547,18.54700000000001
UMass Lowell,102.649,117.458,69.068,-14.8091,-14.808999999999997
UMBC,106.289,110.834,65.9068,-4.54513,-4.545000000000002
UNC Asheville,104.838,111.904,64.5656,-7.06594,-7.0660000000000025
UNC Greensboro,107.789,120.433,67.703,-12.6448,-12.644000000000005
UNC Wilmington,112.971,106.079,64.7407,6.89217,6.89200000000001
UNLV,114.897,110.636,69.9351,4.26094,4.26100000000001
USC,114.319,102.007,70.3858,12.312,12.311999999999998
USC Upstate,99.4707,111.139,67.7256,-11.6687,-11.668300000000002
UT Arlington,103.019,102.829,65.141,0.190148,0.19000000000001194
UT Rio Grande Valley,110.995,107.343,66.3523,3.65272,3.652000000000001
Utah,113.92,108.95,66.2824,4.96962,4.969999999999999
Utah St.,123.394,101.573,67.6562,21.8205,21.821000000000012
Utah Tech,110.461,112.167,65.9056,-1.70677,-1.706000000000003
Utah Valley,112.447,102.823,68.9618,9.62461,9.62400000000001
UTEP,101.85,111.564,64.9883,-9.714,-9.713999999999999
UTSA,100.102,118.428,68.3138,-18.3266,-18.325999999999993
Valparaiso,108.985,107.805,65.0305,1.18046,1.1799999999999926
Vanderbilt,125.264,98.6744,69.158,26.5891,26.58959999999999
VCU,120.52,103.546,69.348,16.974,16.97399999999999
Vermont,107.149,113.627,65.0133,-6.47838,-6.477999999999994
Villanova,120.589,100.423,64.7035,20.1664,20.165999999999997
Virginia,122.307,96.0507,65.6162,26.2559,26.256299999999996
Virginia Tech,117.085,103.231,66.8462,13.8542,13.854
VMI,99.2596,125.221,66.6242,-25.961,-25.961399999999998
Wagner,102.983,116.683,65.5463,-13.7001,-13.700000000000003
Wake Forest,116.953,106.258,67.934,10.6948,10.695000000000007
Washington,116.493,101.8,66.748,14.6928,14.692999999999998
Washington St.,114.726,111.799,67.677,2.92751,2.9269999999999925
Weber St.,112.35,113.835,68.461,-1.48528,-1.4849999999999994
West Georgia,102.479,115.361,68.8862,-12.8818,-12.882000000000005
West Virginia,111.588,98.2154,62.1649,13.3725,13.372599999999991
Western Carolina,109.899,115.902,67.8298,-6.00299,-6.003
Western Illinois,92.8537,121.361,66.4811,-28.5074,-28.5073
Western Kentucky,108.744,106.332,69.7475,2.41228,2.412000000000006
Western Michigan,108.219,117.137,67.6016,-8.91828,-8.918000000000006
Wichita St.,112.634,103.722,66.1013,8.91155,8.912000000000006
William & Mary,111.703,108.696,72.8254,3.00628,3.007000000000005
Winthrop,112.768,110.752,69.4162,2.01539,2.0160000000000053
Wisconsin,123.701,102.719,69.2932,20.982,20.982
Wofford,109.886,116.849,67.8351,-6.96352,-6.963000000000008
Wright St.,112.221,111.151,66.7795,1.06979,1.0700000000000074
Wyoming,114.077,106.99,66.2431,7.08699,7.087000000000003
Xavier,115.86,107.695,70.1376,8.16446,8.165000000000006
Yale,120.817,110.461,64.4698,10.3556,10.355999999999995
Youngstown St.,106.282,109.889,67.1942,-3.6072,-3.6069999999999993
